Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
3856,User Stories Applied: For Agile Software Development,Mike Cohn,"Cohn, Mike",Kent Beck,"=""0321205685""","=""9780321205681""",0,3.88,Addison-Wesley Educational Publishers Inc,Paperback,304,2004,2004,,2020/02/29,"to-read, extremeagile","to-read (#146), extremeagile (#6)",to-read,,,,0,0
1501427,Managing The Design Factory:  A Product Developer's Toolkit,Donald G. Reinertsen,"Reinertsen, Donald G.",,"=""0684839911""","=""9780684839912""",0,4.19,Free Press,Hardcover,288,1997,1997,,2020/02/29,"to-read, programming","to-read (#155), programming (#161)",to-read,,,,0,0
2638796,Naked Objects,Richard Pawson,"Pawson, Richard",Robert Matthews,"=""0470844205""","=""9780470844205""",0,3.38,Wiley,Hardcover,290,2002,2002,,2020/02/29,"to-read, programming","to-read (#153), programming (#159)",to-read,,,,0,0
941370,The Wiki Way: Quick Collaboration on the Web,Bo Leuf,"Leuf, Bo",Ward Cunningham,"=""020171499X""","=""9780201714999""",0,3.38,Addison-Wesley Professional,Paperback,464,2001,2001,,2020/02/29,"to-read, programming","to-read (#150), programming (#156)",to-read,,,,0,0
1894550,Practical Java: Programming Language Guide,Peter Haggar,"Haggar, Peter",,"=""0201616467""","=""9780201616460""",0,3.72,Addison-Wesley Professional,Paperback,279,2000,2000,,2020/02/20,"to-read, programming","to-read (#139), programming (#145)",to-read,,,,0,0
2230566,Java Design: Building Better Apps & Applets,Peter Coad,"Coad, Peter",Mark  Mayfield,"=""0139111816""","=""9780139111815""",0,4.20,Prentice Hall Ptr,Paperback,309,1998,1997,,2020/02/20,"to-read, programming","to-read (#138), programming (#143)",to-read,,,,0,0
105099,Effective Java : Programming Language Guide,Joshua Bloch,"Bloch, Joshua",,"=""0201310058""","=""9780201310054""",0,4.51,Addison-Wesley,Paperback,252,2001,2001,,2020/02/20,"to-read, programming","to-read (#137), programming (#142)",to-read,,,,0,0
376237,Toyota Production System: Beyond large-scale production,Taiichi Ohno,"Ohno, Taiichi",Norman Bodek,"=""0915299143""","=""9780915299140""",0,4.10,Productivity Press ,Hardcover,152,1988,1978,,2020/02/03,to-read,to-read (#130),to-read,,,,0,0
1624372,"Patterns in Java: A Catalog of Reusable Design Patterns Illustrated with UML, 2nd Edition, Volume 1",Mark Grand,"Grand, Mark",,"=""0471227293""","=""9780471227298""",0,3.40,Wiley,Paperback,544,2002,1998,,2020/02/03,"to-read, programming","to-read (#123), programming (#129)",to-read,,,,0,0
698229,Leading at the Edge of Chaos: How to Create the Nimble Organization,Daryl R. Conner,"Conner, Daryl R.",,"=""0471295574""","=""9780471295570""",0,3.38,Wiley,Paperback,368,1998,1998,,2020/01/14,"to-read, programming","to-read (#117), programming (#122)",to-read,,,,0,0
1441004,Practical Guide to Structured Systems Design,Meilir Page-Jones,"Page-Jones, Meilir",,"=""0136907695""","=""9788120314825""",0,4.03,Prentice Hall,Paperback,,1988,1980,,2020/01/14,"to-read, programming","to-read (#112), programming (#118)",to-read,,,,0,0
262334,"Design and Evolution of C++, The",Bjarne Stroustrup,"Stroustrup, Bjarne",,"=""0201543303""","=""9780201543308""",0,4.30,Addison-Wesley Professional,Paperback,480,1994,1994,,2020/01/14,"to-read, programming","to-read (#104), programming (#110)",to-read,,,,0,0
2063122,C++ Strategies and Tactics,Robert B. Murray,"Murray, Robert B.",,"=""0201563827""","=""9780201563825""",0,3.44,Addison-Wesley Professional,Paperback,282,1993,1993,,2020/01/14,"to-read, programming","to-read (#102), programming (#108)",to-read,,,,0,0
1537420,Internet System Handbook,Marshall T. Rose,"Rose, Marshall T.",,"=""0201567415""","=""9780201567410""",0,3.00,Addison-Wesley,Hardcover,,1993,1993,,2020/01/14,"programming, to-read","programming (#107), to-read (#101)",to-read,,,,0,0
2309802,Abstraction and Specification in Program Development (MIT Electrical Engineering and Computer Science),Barbara Liskov,"Liskov, Barbara",John V. Guttag,"=""0262121123""","=""9780262121125""",0,4.18,The MIT Press,Hardcover,488,1986,1986,,2020/01/14,"programming, to-read","programming (#106), to-read (#100)",to-read,,,,0,0
5784194,Structured Programming,Ole-Johan Dahl,"Dahl, Ole-Johan","Edsger W. Dijkstra, C.A.R. Hoare","=""0122005503""","=""9780122005503""",0,4.11,Academic Press,Hardcover,234,1972,1972,,2020/01/14,"to-read, programming","to-read (#99), programming (#105)",to-read,,,,0,0
1190262,"Computers & Typesetting, Volume A: The TeXBook",Donald Ervin Knuth,"Knuth, Donald Ervin",Duane Bibby,"=""0201134470""","=""9780201134476""",0,4.31,Addison-Wesley,Hardcover,483,1986,1984,,2020/01/14,"to-read, programming","to-read (#98), programming (#104)",to-read,,,,0,0
262333,The Annotated C++ Reference Manual,Margaret A. Ellis,"Ellis, Margaret A.",Bjarne Stroustrup,"=""0201514591""","=""9780201514599""",0,3.69,Addison-Wesley Professional,Paperback,480,1990,1990,,2020/01/14,"to-read, programming","to-read (#94), programming (#100)",to-read,,,,0,0
1965545,C++ Programming Style,Tom Cargill,"Cargill, Tom",,"=""0201563657""","=""9780201563658""",0,3.67,Addison-Wesley Professional,Paperback,248,1992,1992,,2020/01/14,"to-read, programming","to-read (#92), programming (#98)",to-read,,,,0,0
